locus_tag	simbolo	alias	tipo	producto	es_tf	fuente_tf	fuente	sensible_mayusculas
PA4325		PA4325	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4326		PA4326	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4327		PA4327	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4328		PA4328	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4329	pykA	PA4329	protein_coding	pyruvate kinase	false		refseq|kegg|uniprot	false
PA4330		PA4330	protein_coding	enoyl-CoA hydratase	false		refseq|kegg|uniprot	false
PA4331		PA4331	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4332		PA4332	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4333		PA4333	protein_coding	fumarase	false		refseq|kegg|uniprot	false
PA4334	mntH1	PA4334	protein_coding	manganese transporter MntH	false		refseq|kegg|uniprot|uniprot_especie	false
PA4335		PA4335	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4336		PA4336	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4337		PA4337	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4338		PA4338	protein_coding	acyltransferase	false		refseq|kegg|uniprot	false
PA4339		PA4339	protein_coding	phospholipase	false		refseq|kegg|uniprot	false
PA4340		PA4340	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4341		PA4341	protein_coding	transcriptional regulator	true	go_0003700|kw_transcription_regulation|producto_refseq	refseq|kegg|uniprot	false
PA4342		PA4342	protein_coding	amidase	false		refseq|kegg|uniprot	false
PA4343		PA4343	protein_coding	major facilitator superfamily transporter	false		refseq|kegg|uniprot	false
PA4344		PA4344	protein_coding	hydrolase	false		refseq|kegg|uniprot	false
PA4345		PA4345	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4346		PA4346	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4347		PA4347	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4348		PA4348	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4349		PA4349	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4350	olsB	PA4350	protein_coding	hypothetical protein	false		refseq|kegg|uniprot|uniprot_especie	false
PA4351	olsA	PA4351	protein_coding	acyltransferase	false		refseq|kegg|uniprot|uniprot_especie	false
PA4352		PA4352	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4353		PA4353	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4354		PA4354	protein_coding	hypothetical protein	true	go_0003700|go_0006355|kw_transcription_regulation	refseq|kegg|uniprot	false
PA4355		PA4355	protein_coding	major facilitator superfamily transporter	false		refseq|kegg|uniprot	false
PA4356	xenB	PA4356	protein_coding	xenobiotic reductase	false		refseq|kegg|uniprot	false
PA4357		PA4357	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4358		PA4358	protein_coding	ferrous iron transporter B	false		refseq|kegg|uniprot	false
PA4359		PA4359	protein_coding	ferrous iron transporter A	false		refseq|kegg|uniprot	false
PA4360		PA4360	pseudogene	pseudogene	false		refseq|kegg|uniprot	false
PA4361		PA4361	protein_coding	oxidoreductase	false		refseq|kegg|uniprot	false
